movie,sentence,score
원피스 필름 레드,원피스인듯 원피스 아닌듯 ,6
늑대사냥,이게 한국관객 수준이다.이런 높은 퀄의 잔혹 액션극에 이따위 평점테러를 한다.울나라애들은 그냥 조폭코믹멜로 아니면 안먹힌다.꽃미남 조폭등 나와서 여주하고 티키타카하면서 액션극 펼치는걸 좋아한다.,10
와니와 준하,"김희선과 영상 색채, 동화같이 수수한 연출",10
탄생,종교나 한국 근현대사에 관심이 있는 사람들에게 추천할 작품. 작은 역에도 참여한 낯익은 배우들이 많았다. 조금만 더 과감히 정리했다면 덜 지루했을 듯,8
탄생,연기는 잘했으나 너무 지루해서 졸았어요. 대부분 큰 감동 받으신 거 같아서 놀랍네요. 역시 사람의 생각은 다 다르구나 싶네요.,2
벤자민 버튼의 시간은 거꾸로 간다,10년 뒤에 다시 보면 그 때 또 다른 걸 배울 수 있겠지.,10
캡틴 필립스,오랜만에 심장 쫄깃…씁쓸하다 ㅠㅠ,9
한산: 용의 출현,영화는 평타  근데 음향감독인가 녹음감독인가  그쪽종사자가 아니라서 잘은모르겠지만영화보는내내 효과음은 너무크고 그거에 소리마추면 연기자들 대화소리는 너무작고최악이였음 ,6
탄생,"다큐멘터리 영화같은 느낌과 서양, 특히 프랑스를 미화했다는 단점에도 불구하고 보라고 추천해줄 수 있는 영화. 특히 천주교인이라면 우리나라 최초의 신부님이라는 점만 알고 있었던 부분에서 김대건이라는 사람을 더 잘 알아갈 수 있는 영화인듯. 인생에서 본 영화 중 여운이 가장 길게 남는 영화",8
올빼미,류준열에게 상 안주면 진짜 안돼요올빼미 좋은 결과 있기를 기대합니다정말 이젠 굵은 기둥이 된 내배우정말 자랑스러워요,10
그곳에서만 빛난다,"아름답지않은 현재와 지독히도 현실적인 사랑 이야기, 사랑받으며 자란 이들은 이해할 수 없다. ",9
폴: 600미터,베키 친구 죽고 나서 각성하는게 ㅈㄴ이기적이네 헌터가 계속 멘탈 케어 해줬으니 망정이지 계속 우린 죽을거야 툴툴거리고 살아남아도 저러고 살거다 베키같은 ㄴ?ㄴ을 조심해야해,1
한산 리덕스,진작에 리덕스판으로 나왔으면 천만 찍었지...,10
헌트,좌파와 북한간첩이 하나가되어 전두환 죽이려는 영화임. 전두환 독재를 비판하는건 좋은데 왜 북한 김씨일가의 독재정치에 대해선 너그러운지.. 이런 이중성이 역겨움. 오히려 지금까지도 북한은 수많은 인민들이 김씨일가에  밑에서 착취당하고 굶어죽고있는 이 현실에..(오늘 어린 학생들이 남한영화봤다고 3명을 공개총살당했다는 뉴스가나옴)  독재와 힘없는국민들이 죽는게 정말 안타깝다면 아직까지도 독재가 이어지고있는 북한을 미화해선 안됨 . 영화 처음부터 끝까지 독재가 많이나오는데 뭔가 앞뒤가 다른게 아이러니함,2
올빼미,반전에 반전... 진짜 재밌음,10
한산 리덕스,그냥 리덕스로 나오지 영화가 더 완성되어진 느낌의 완전판 이제 노량으로 가자,10
올빼미,간만에 영화다운영화  적극추천합니다,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",일본 영화여서 오글거리는 부분이 없지 않아 있지만  막상 끝나고 나면 포스터만 봐도 눈물 광광흘러요 ㅠ 원작소설을 본뒤에 읽으면 등장인물들의 감정을 더 잘 이해할수있을것같아요 소설을 읽은뒤 영화보는 것을 추천드려요.,10
낙원의 밤,차승원 중간에 킬포 ㅈㄴ지림ㅋㅋㅋ 보면서 현웃 완전터지고 개꿀잼,10
4등,"껍데기를 물려주려는 어른들, 알맹이는 아이들의 몫.",7
삼국-무영자,조정에서 죽은 주공도 그림자다. 마지막 부인이 문틈에서 본 장면이 진짜 주공이 나타나서 그림자 도독을 죽이는 모습이였다,6
올빼미,전개 연출부족 이라는 전문가스러운 평 다 재쳐두고 그냥 띵작 이였어요. 특히 두 주연 배우들 연기는 역대급이였고 적당한 긴장감과 늘어지는 전개없이 적당한 슬픔과 먹먹함.. 마지막엔 답답함과 여운까지 진짜 재미있게 본 영화네요.. 영화가 끝나고 왜 제목이 올빼미인줄 이해가 갔네요..ㅎ,10
런,뭔가 억지스러운 스토리와 연출이 있긴한데 나름 영화가 전하는 메시지는 잘 전달한거같음. 볼만함.,8
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",나는 눈물이 없는 사람이 아니라 이 영화를보지 않은 사람일 뿐이었다,10
리멤버,나쁜 친일파 싫어 천벌 받을꺼야...,5
공조2: 인터내셔날, 영화 전체가 코메디 찍고 있는데 진선규 혼자 진지빨고 범죄도시 컨셉 잡으니까 이질감 든다. 또 윤아 분량 잡아주겠다고 어거지로 쓸대없는 장면 껴넣은게 너무 많아서 시간 아깝다. 그리고 북조선 미화가 심해서 살짝 역하다. 그런거 빼고 머리 비우고 보면 평타는 치는 영화.,4
에이리언,이 시대에 이런 상상력과 연출 ㅎㄷㄷ,9
원피스 필름 레드,기대했던 것과는 다른 전개...,8
올빼미,영화너무재미써요… 시간가는지 모르고 예측불가해서 너무 재밌었어요 !!!! 유해진 류준열 왕멋짐 ..,10
패신저스,재밋게 봣네요 머릿 속에 오래도록 남을 좋은 영화,10
외계+인 1부,너무 악평이 많고 평점이 낮아서 기대안하고 봣는데 나름 감독이 무협지갬성이랑 터미네이터를 버무려서 재밋게 만들어서 시도가 참신하던대 뻔한 스토리일순 잇지만 재밋엇음이런영화에 메세지까지 잡으면 everything everywhere at all once 처럼 영화제에서 상 존나 받아야지. 최동훈 감독님 작정하고 만든거 같은데 흥행못해서 킹받겟지만 예술 영화 거장 되고 싶으시면 2부 만드셔서 흥행과는 별개로 유종의 미 거두시길! 응원합니다!,8
20세기 소녀,"영화 보던 내내 보라와 운호의 사랑을 누구보다 응원했던 사람으로서 결말 부분은 한없이 가슴이 미어지고 눈물이 났습니다 영상미와 연출, 캐스팅도 너무 훌륭하고 영화도 기대했던 만큼 좋았고 여운이 가시지 않는 영화인 것 같습니다 그럴 수는 없겠지만 보라와 운호가 해피엔딩이었다면 어땠을까 궁금하기도 하고요하지만 새드엔딩 이었기에 20세기 소녀는 더욱 의미있는 영화겠죠 ",10
분노의 추격자,"심플한 납치 스릴러,,",5
엔시티 드림 더 무비 : 인 어 드림,엔시티드림더무비인어드림,1
워 위드 그랜파,눈이 반짝반짝 빛나는 남주. 보면볼수록 사랑스러움 .오밀조밀하게 잘생김,8
올빼미,인조가 질투에 눈멀어 미치는 연기도 소름류준열 맹인 연기도 소름역사를 다시 찾아보게 되는 영화 ,10
마일 22,마크윌버그를 조아해서이제야 넷플서 봤는데 잼나네여~시간이 금방 지나감요!!강츄!!,10
의뢰인,10년이 지난 영화 치곤 나쁘지 않고 하정우 박희순 장혁 김성령 성동일의 10년전 모습을 보는 것도 하나의 재미. 하지만 10년이 지났지만 다시 봤을 때 띵작 이라고 할 만큼 좋지도 않다 법정 스릴러 좋아 한다면 한번쯤 볼만한 영화 ,7
압꾸정,스토리 결말 아쉽지만 중간중간 웃기는 장면들이 많아서 많이 웃고 나왔네요. 킬링타임용으로 생각했는데 기대이상이었어요. ,9
씽,볼만한 해피엔딩 만화,6
리멤버,"보여주고 싶은 게 매우 명확해서 감정선보단 사건 중심으로 흘러가는 영화라 팍 터지는 게 없어 조금 아쉬웠습니다. 플롯 자체랑 주인공, 씁쓸한 엔딩까지는 기가 막혔는데 풀어내는 과정중 극적인 게 별로 없어가지고 .. 물이 끓을랑 말랑하다가 결국 못 끓고 따뜻한 채로 끝난 느낌.. 그래도 역시 연기는 매우 좋았습니다.",10
해피 데스데이,이런 연출 좋음,10
거룩한 계보,최고~ ^^ 너무 즐거운 시간 이었습니다. 이런 영화 나와서 정말 고맙고 감사합니다.,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",오늘 보고 왔는데 열심히 울고 웃으니까 영화가 끝났어요... 너무 재밌어서 지금 책으로도 읽는 중인데 남주여주 왤케 예뻐요.. 과몰입하게 되잖아요.. ost도 최고 .. 한 번 더 볼 예정입니다.. 상영관 조금만 더 늘려주세요.. 왕복 2시간 반 걸려서 보고 왔어요 하유ㅠ,10
데시벨,이 영화에 나오는 어뢰를 축구대표팀으로 영입해라. 탈압박 월클이다.,7
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",예상했던 익숙하고 많이 먹어봤지만 맛있는 그 맛!,7
클로버필드 10번지,이거 아예 전작을 모르는사람이 봐야 재밌음.. 지금 스릴이 필요한 당신에게 추천..,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",진짜 눈물 없인 볼 수 없는 띵작..,10
원피스 필름 레드,정말 재밌게 봤습니다노래가 짱짱 좋아요,10
토르: 러브 앤 썬더,정신없다 정신없어 북유럽에 그리스까지 돈되면 다 갖다붙이네,2
원피스 필름 레드,폴란드에서 11월초에 아이맥스로 보고옴.. 노래와 효과로 떡칠 되어있음.. 과연 이게 스토리와 상관이 있나 그냥 끼워 넣기 아닌가 초반에는 원피스 뽕에 차서보다가 점점 이게 맞나 라는 생각이 드는 영화임..,4
소셜포비아,플랫폼의 진화에 따른 개인과 사회가 발산하는 폭력의 수렴을 피할 수 없는 세상이 되었다. 다른 이를 비난하는 동시에 나 또한 비난의 대상이 된다.,7
데시벨,기대 별로 안했는데 전 너무 재밌게 봤어요 연기도 다들 너무 좋았어요 ㅠㅠ 추천합니다 !,10
크리스마스 위드 유,따뜻하고 자극적이지 않은 크리스마스 영화입니다,10
본즈 앤 올,마지막의 그 충격과 먹먹함을 잊을 수 없다. ,9
올빼미,볼만한 사극 영화였어요.,9
압꾸정,믿고 보는 마블리넘 재미있었다.범죄의도시2도 넘 재미있었고~,10
원피스 필름 레드,"안 좋은 평이 많아서 기대치를 낮추고 갔더니 정말 재밌게 보고 옴.이번 극장판 테마가 노래라 노래하는 장면이 많은데 나중에 볼거면 차라리 극장에서 보는 걸 강추일반 스피커로 듣는 거랑 차이가 매우 클 것 같다.Ado팬이라 노래 나올 때마다 너무 즐거웠다.. 안 좋은 노래가 없음 b 전투,액션씬을 원하는 사람, 노래 싫어하는 사람은 비추",10
블랙 팬서: 와칸다 포에버,보는동안 너무 지루했고 사건의 주범인 아이언하트 넘겨주고 끝냈으면 좋겠다 생각했음 cg도 구리고 액션신도 너무구림..아이언하트 끼워팔다 둘다망하게생김 너무 비호감..  ,1
로그 원: 스타워즈 스토리,"뭐하나 빠지는게 없이 완벽한 작품이네요. 거대한 스케일과 어두운 분위기의 스타워즈가 마음을 아프게 합니다. 모든 전쟁에는 승리가 없다. 수많은 죽음, 엄청난 희생과 고통속에서 피어난 한가닥 희망. 긴 여운이 남은 영화입니다. ",10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",일본애들 연기는 왜이리 오글오글할까,8
B컷,9.35 아줌마부대 ㅅㅂ. ,1
탄생,연말에 좋은 영화를 상영해 주어서 감사합니다. 너무 감동을 주려하지 않고 담백하게 내용을 담아서 더 좋았습니다,10
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,유치해도 본질을 꿰뚫는 화두부리부리부리~~,10
콰이어트 플레이스,스토리 개망 개연성 제로연기력 똥망,1
탄생,천주교도나 근대사에 대해 관심있는 사람들이 보면 좋을 영화 단 한산처럼 액션이나 박진감 넘치는 무언가를 기대하는 사람들은 비추천 이 영화 자체가 시대적 배경에 한 인물에 대한 서사시를 잔잔하게 그려내니 빠른 전개와 액션 좋아하는 사람들에겐 지루할 수 있음,8
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",진짜 마음을 울렸습니다.,10
극한직업,너무 웃긴 영화 꼭 한번 보시기를,10
실종,그래도 일본 영화에 한번 더 기대를 하게 만드는 웰메이드 스릴러,10
스파이더맨: 뉴 유니버스,눈을 못 떼고 본.. 최고다 ,10
블랙 팬서: 와칸다 포에버,처음에 액션이나 스토리 전개는 나쁘지 않음 그러나 중간에 너무 지루해서 자버림… 그냥 추모에 너무 중심이 되있는거 같음,4
인생은 아름다워,다시 깨닫게 해주는 ...,10
탄생,영화가 끝나고 긴 여운이 남아 쉽게 일어 나기가 힘들었다  꼭 추천하고픈 영화다,10
올빼미,진짜 재밌게 봤습니다…,10
원피스 필름 레드,노잼,1
노엘 다이어리,잔잔하게 재미 없음크게 몰입되지 않아요,2
신세계,굿굿 다시봐도 명작몰입도 지림,10
판도라,ㄴㅈ,1
원피스 필름 레드,노래는 진짜 좋았다걍 보세요,10
올빼미,스토리를 지루함없이 정말 잘짰고간만에 몰입도좋은 사극영화봐서 재밋었습니다,10
블루 발렌타인,그래도 사랑해서 결혼하고 예쁜 딸이 있는데 문제가 있으면 서로 대화를 해가면서 맞춰가고 상담도 해보고 노력해봐야지..;  그렇게 그냥 내치면 저 남편은 어쩌라는거야 이 무책임하고 이기적인 여자야..,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",책은 아직 다 못 읽고 영화 먼저 봤는데 눈물 광광ㅜㅜ 초반엔 조금 지루할 수 있지만 후반엔 눈물만 나와요,10
블루 발렌타인,그래도 사랑해서 결혼하고 예쁜 딸이 있는데 문제가 있으면 서로 대화를 해가면서 맞춰가고 상담도 해보고 노력해봐야지..;  그렇게 그냥 내치면 저 남편은 어쩌라는거야 이 무책임하고 이기적인 여자야..,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",책은 아직 다 못 읽고 영화 먼저 봤는데 눈물 광광ㅜㅜ 초반엔 조금 지루할 수 있지만 후반엔 눈물만 나와요,10
올빼미,진짜.. 너무 재밌어요  평점 처음 남겨봐요.. 류준열 사랑해요 ...,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","여운이 깊은 영화인만큼 남주, 여주, 여주 친구 이 셋의 우정과 따뜻함을 느낄 수 있었다. 전날의 기억을 가지고 있지 않아 하루하루를 감흥없이 살아가야하는 여주가 정말 불쌍하지만 반면 모든 상황을 기억하기 때문에 더 고통스럽게 살아가는 사람도 있다. 그 사람은 여주 친구라 해야되나... 후반부에 몰아치는 장면이 너무 인상깊었다.",10
탄생,연말에 따뜻한 영화를 보고 싶었는데 가슴이 웅장해지고 저희 엄마도 계속 우시더라구요. 천주교를 다니진 않지만 잔잔하니 깊은 울림이 있었습니다. 우리나라 역사를 다시 돌아보게 되고 김대건 신부가 젊은 나이에 참 대단했다고 느꼈습니다. 윤시윤 배우도 연기를 참 잘하더군요. 주변 지인들에게 추천하고 싶습니다. ,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",정말 오랜만에 펑펑 울면서 본 영화,10
길버트 그레이프,잔잔한 것 같으면서도 몰입해서 봤다. 조니뎁 얼굴 덕분에 재미가 2배 3배 4배 디카프리오는 저 어린나이에 자폐연기를 할 수 있다는 것부터가 너무 대단한듯 ,9
머니백,감독하면 안되는 사람이 감독한거같다 ㅋㅋ 억지웃음 ㅋㅋ,2
올빼미,류준열 너무 위험한 짓을 많이 함ㅋㅋㅋㅋ 근데 연기 좋았어요 ?? ? 개인적으로 유해진이 앞부분에서 좀 어색했던 느낌이 들었어요 그래도 넘 재미있게 잘 봤습니다! ,10
기생충,말하고자 하는 메세지가 확실하고 사회의 어려운 계층의 마음을 대변해주는 듯한 영화같이 수상후보에 올랐던 영화들 중에 상을 안타는게 더 이상한 영화 기생충은 거품이 전혀없다 ,10
리플리,이렇게 매력 없는 주인공은 처음본다. 지루한 인간 연기는 잘한듯,2
클래식,진짜... 진짜 최고다... 최고의 영화...,10
압꾸정,생각보다 잼있음 ㅋㅋㅋㅋ 역시 마동석,9
엔시티 드림 더 무비 : 인 어 드림,전 아직…잠실에서 벗어나지 못했습니다…영화 시작 처음부터 눈물로 시작해…마지막까지 눈물을 흘리며 끝났습니다… 평즈니..가즈아~~,10
올빼미,재밌게 긴장감 넘처하며 잘 봤습니다,10
본즈 앤 올,궁극의 멜로란 이런 영화다,8
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",원작 특유의 잔잔하고 서정적인 분위기를 잘 살린 듯... 배우분들 비주얼이랑 연기합 대박 ㅠㅠ,9
데시벨,"미쳤어요 배우들 조합 무슨 일이에요..? 눈정화 미쳤습니다. 연기도 너무 좋았고 사운드, 액션도 좋았습니다 한 번 더 보러가고 싶어요 ",10
언니,"여성 액션의 걸크러쉬 연기를 기대했겠지만 현실은 페티시즘(빨간원피스, 하이힐, 여고생)에 빠진 연출자가 배우들을 섹스어필용으로 소모한게 전부인 영화. 주연배우 두분의 멘탈이 걱정될 뿐.",4
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",너무 슬펐는데 존나 재밌었음 진짜 연인이신 분들이 보면 몰입 개잘됨,10
브로커,"사회문제에 대해 비판을 하고싶다면 그 사회문제에 대해서 누구보다 더 이해도가 높아야한다고 생각한다 나는 그저 영화을 보는 관객일 뿐인데 이 작품의 각본을 쓴 사람은 나보다 미혼모, 가출 청소년 같은 문제에 대해 잘 모르는것 같다적어도 다큐라도 보던가 책이라도 읽던가 기사라도 찾던가 모성애를 보여주려는건지 … 중간에 로맨스는 왜있는거지…?;;베이비 박스 같이 특이하고 유일한 소재를 골랐으면 나같으면 어떻게든 이 작품의 끝을 잘내보려고 했을텐데 산으로가다 결국 모든 상황을 해결하지못해 열린결말로 끝낸게 너무 어이가 없었다 국내에 좋은 영화 더 많은데 왜 이게 칸갔나 싶다 상은 소재와 봉준호 빨 국내에서의 화제성은 칸과 아이유 빨 아닌가? 너무 아쉽다 베이비 박스같은 소재를 이렇게 쓴다는게 감독님께 여쭤보고 싶다 그래서 이 작품을 통해 무슨말을 하고 싶은건가요? 대중들은 당신들이 생각하는 것보다 더 수준이 높다 만약 이 작품의 평점이 낮은 것이 대중들이 예술을 몰라서라고 반박한다면 무관심성에 대해 생각해보길 바랍니다.",2
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","일본영화의 단골소재, 뻔한 클리셰, 특유의 뽀샤시한 영상미를 다 느낄 수 있는 영화, 비슷한 일본영화들중에서 최근 5년내에서 가장 완성도있지 않았나 싶음. 캐스팅도 좋았고 스토리를 잘 풀어내서 딱히 큰 의문이들지않았음. 그러나 영화의 순수 재미는 그리 크지않음. 일본영화에서 빠지면 아쉬운 주연배우들의 어설픈 연기마저 영화의 설정(아주잘녹아든) 같아서 내가 평하기엔 그냥 완벽히 일본스러운 영화의 끝장판. ",10
조디악,재밌긴 한데 러닝타임이 너무 길어서 중간에 살짝 졸았음. 좀 더 컴팩트하게 영화를 구성했다면 더 좋았을 듯.,7
엔시티 드림 더 무비 : 인 어 드림,일단 처음부터 울컥했구요..애들 한 명씩 서로 소개하는 부분이 너무 좋았음.. 진심 헬퓨 피아노 버전 나올때 울었다 너무 재밌었다 진짜 평드다짐,10
압꾸정,아니 다들 영화 평론가나 하지 이정도 개그코드면 보통정도는 웃지 않나??? ,10
올빼미,리뷰 안쓰는데 최근 본영화중 제일 돈주고 볼만 하고 시간가는줄 모를만큼 재밌게 봤습니다ㅎㅎ,10
토르: 러브 앤 썬더,어린이영화네 유치해졌네 하는데 40대중반 아저씨인데 재밋게봤음. 마블시리즈에 왜이리 무게를 두는지 그저 오락영화로서 즐거우면 되지. 신나는 액션 코믹한부분 좋았음. sf에서 신파와 무거움은 아이언맨으로 끝이길.,8
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이렇게 재밌는 일본 영화는 너의 이름은 이후에 처음이에요...진짜 감동이에요 채득 앞부분 읽다가 말았는데 다시 읽어야 될 것 같아요,10
다이 하드 2,브루스 윌리스 형님 주연. 더이상 설명은 필요 없슴,10
스틸워터,&amp;#34;그들이 보고 싶지 않나요?&amp;#34;&amp;#34;보고 싶어&amp;#34;&amp;#34;돌아갈 순 없나요?&amp;#34;&amp;#34;그럴순 없어... 하지만 행복했어. 그건 변하지 않아.&amp;#34; 아빤 딸에게 못 해준 사랑을 딸을 면회 왔다가 마르세유 모녀에게서 감정을 느끼고 사랑을 한다.이젠 그들과 헤어지고 보고싶어 하고 자신의 행동에 후회하기도 하지만 그 때 그가 느꼈던 감정과 행태들은 진실되기에 지금은 삶의 한 추억으로 소중하게 간직할 수 있지 않을까.나의 지나온 삶들 중 그 선택이 어리석거나 후회스러운 적이 있다. 그러나 그건 그 순간에 결정되어진 결과이지 그 과정이_여기서 말 하는 과정은 그 나쁜 선택을 가져온 원인이 아닌 그냥 삶의 자취 같은 것으로 만남과 사랑등 어떤 인연에 대한 삶의 자세가 진실되다면 나중의 삶이 결과론적으로 고독하더라도 기억 저편엔 &amp;#39;푸른&amp;#39;좋음이 남아 인생을 좀 더 값지고 윤택하게 하지 않을까...,10
헤어질 결심,"아이러니. 타이밍. 모든것이 어긋난, 마침내 완성된진실된사랑. ",10
올빼미,한국 사극영화중 이렇게 손에 땀이 날 정도라니 류준열 올빼미 그잡채 입니다. ,10
비상선언,배우들이 넘 아까운 최악의 영화,2
올빼미,"한 줄의 사료로 이런 스토리를 만들다니,, 끝까지 몰입해서 봤어요!",10
올빼미,근래 본 영화중 최고..스토리 연기 음 좋았읍,10
탄생,가슴이 먹먹해지는 진한 여운이 있는 영화윤시윤의 연기.. 너무 잘합니다!,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","색감, 장소, 소품 같은 시각적인요소 좋았다 일본특유 작위적인 연기, 말투 없어서 좋았다. 개인적으로 영화에서 내가 현실에서 접하는 실제 알람소리나 전화소리 들으면 제 4의 벽깨지는 느낌이었는데 이 작품은 여자주인공 알람소리나 전화소리, 작품에 맞는 사운드를 넣어줘서 좋았다.근데 스토리는 좀 문제가 많이 있다 너의 췌장을 먹고싶어, 내일의 나는 너를 만난다? 의 복제본을 보는 느낌표절을 한거같다는 말이 아니라학창시절의 아련한 사랑을 병이나 죽음이 아니면 표현을 못하나보다… 작중 남자주인공에게 큰 시련이 닥치는데 그때 이후로 완전 흥깨짐 공감도 안되고 안슬펐다 일본영화 찾아보는 편은 아니라 … 일본영화시장을 일반화 하긴 싫다 근데 국내 개봉했던 일본의 유명한 영화들은 다 왜 스토리가 이 모양일까 싶다…그리고 떡밥회수 잘해줘서 고맙긴한데 영화 초반 내용이 이후내용과 인과성이 전혀없다 주인공이 괴롭힘 받는 친구를 도와준 설정은 뭘까 싶다 차라리 주인공이 괴롭힘 받고 있었던게 더 납득이 될듯 ( 양아치 친구들도 왜 남주를 괴롭히는 건지 모르겠다;; 그래서 누가 왕따인건데 억지 감동 슬픔 영화라기엔 감동도 없고 슬픔도 없었음여주가 이쁘고 남주가 잘생겼다 끝 .안봐도 봐도 인생에 딱히 영향 없을 영화 ",4
드라이브,ost하나로 매운맛이 달콤한 맛으로 변하는 신기한영화 ,8
유포자들,유치원학예회 보다 못한 수준ㅜ,1
양자경의 더 모든 날 모든 순간,어려운영화...힘들었음,6
탄생,눈물이 계속 났습니다.. 마음과 영혼이 씻기는 느낌이었습니다. 감사합니다.,10
원피스 필름 레드,재밌는데? 우타 최고다,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",진짜 너무너무 슬픔ㅠㅠ 소설은 아직 못 봤지만 서설도 꼭 읽어봐야겠다.. 울 준비 각오하시고 가야해요. 휴지랑 여유분 마스크 꼭 넉넉히 챙기고 가세요ㅜㅜㅜ ,10
압꾸정,개그코드만 잘 맞는다면 재미있게 볼 수 있을 거예요뒷자리에 가족끼리 온 거 같았는데 아이들은 엄청 재밌게 보더라고요. 제 옆자리에 앉으신 분도 보면서 엄청 웃으셨어요. 전 그럭저럭 보고 온 거 같아요. ,8
탄생,많이 울었어요 ㅠㅠ 감동 그 자체입니다,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",기대했던 만큼 원작에 충실하고 스토리가 좋았고 기대 이상으로 영상미가 너무너무 예뻤다 캡쳐해서 소장하고 싶은 장면이 많았다. ,10
올빼미,초반에 지루했다가 그장면에서 충격,10
데시벨,재밌어요 보고 울었어요ㅠㅠ,10
"그 겨울, 나는",묘하게 현실적이다. 남주의 변해가는 모습이 돋보인다.,7
양자경의 더 모든 날 모든 순간,다시 봐도 재밌다 ㅋㅋㅋ,9
압꾸정,재밌게 잘봤네요. 생소한 성형쪽에 분야를 영화로 만들어서 약간 흥미롭게 본거 같네요~,10
올빼미,몰입도 스토리 연기 만점,10
올빼미,몰입도 스토리 연기 만점,10
올빼미,오디오 감독님 지림...영화에서 나오는 두근두근 소리가 제 떨리는 심장소리였는지 영화 ost였는지 모르겠습니다. ,10
양자물리학,영화는 킬링타임용. 근데 양자물리학이라고 제목 붙인 건 생각할수록 웃긴다는.ㅋㅋㅋ ,5
